File,Rep,Sched,P1,R1,B1,P2,R2,B2,SSMag,LLDelay,PropSS
ssmag115.xlsx,22,2,0.0,10.875,12.725,0.0,37.725,247.775,115.0,10.0,0.04884836852207294
ssmag115.xlsx,22,3,0.0,56.425,66.75,0.0,9.675,97.9,115.0,20.0,0.4054054054054054
ssmag115.xlsx,22,4,0.0,49.525,58.025,0.0,8.675,100.325,115.0,30.0,0.36643511209346386
ssmag115.xlsx,22,5,0.0,75.25,88.45,0.0,3.775,46.9,115.0,40.0,0.6534909493904693
ssmag115.xlsx,22,6,0.0,65.825,76.5,0.0,3.75,51.925,115.0,50.0,0.5956784115242358
ssmag115.xlsx,22,7,0.0,67.1,78.85,0.0,2.95,38.325,115.0,60.0,0.6729251120119479
ssmag115.xlsx,22,8,0.0,80.05,94.725,0.0,2.325,35.05,115.0,70.0,0.7299171643228666
ssmag115.xlsx,22,9,0.0,90.625,106.2,0.0,1.45,19.4,115.0,80.0,0.8455414012738854
ssmag115.xlsx,23,1,0.0,4.075,4.85,0.0,77.725,331.45,115.0,5.0,0.014421647338685695
ssmag115.xlsx,23,2,0.0,13.5,16.1,0.0,36.725,242.775,115.0,10.0,0.062192177691936266
ssmag115.xlsx,23,3,0.0,37.225,43.675,0.0,13.925,132.275,115.0,20.0,0.24822392725206024
ssmag115.xlsx,23,4,0.0,75.175,89.325,0.0,3.825,46.15,115.0,30.0,0.6593467429415022
ssmag115.xlsx,23,5,0.0,93.7,110.45,0.0,2.025,24.15,115.0,40.0,0.8205794947994057
ssmag115.xlsx,23,6,0.0,73.4,85.6,0.0,3.1,43.4,115.0,50.0,0.6635658914728682
ssmag115.xlsx,23,7,0.0,76.6,90.95,0.0,2.175,32.75,115.0,60.0,0.7352465642683913
ssmag115.xlsx,23,8,0.0,78.775,92.925,0.0,2.05,27.45,115.0,70.0,0.7719626168224298
ssmag115.xlsx,23,9,0.0,80.95,94.625,0.0,1.9,25.95,115.0,80.0,0.7847812564793697
ssmag115.xlsx,24,1,0.0,0.15,0.175,0.0,80.15,340.65,115.0,5.0,0.0005134599867967431
ssmag115.xlsx,24,2,0.0,27.475,33.075,0.0,31.675,210.4,115.0,10.0,0.13584556936030392
ssmag115.xlsx,24,3,0.0,42.375,50.075,0.0,14.125,136.125,115.0,20.0,0.2689312567132116
ssmag115.xlsx,24,4,0.0,57.5,67.85,0.0,6.45,76.675,115.0,30.0,0.4694689500086491
ssmag115.xlsx,24,5,0.0,83.625,98.6,0.0,3.375,41.325,115.0,40.0,0.7046632124352331
ssmag115.xlsx,24,6,0.0,74.9,88.55,0.0,2.95,37.4,115.0,50.0,0.703056768558952
ssmag115.xlsx,24,7,0.0,79.85,94.075,0.0,2.55,35.8,115.0,60.0,0.7243503368623677
ssmag115.xlsx,24,8,0.0,81.85,96.4,0.0,1.6,25.8,115.0,70.0,0.7888707037643208
ssmag115.xlsx,24,9,0.0,82.75,97.25,0.0,1.75,25.0,115.0,80.0,0.7955010224948875
